reviewid,comment
1815348,"I'm not a huge fan of these teriyaki joints. Because most don't taste like true teriyaki at all. But Teriyaki Town offers good tasting food for reasonable price. The portions are huge so be warned.

I typically get the Vegetable Yakisoba here. The seasoning is tasty to me and it's not overly oily. Also, their Mongolian Beef and Spicy Chicken dish is also pretty good. The meats are tender which a huge plus.

They have a soup stand for those dining in next to the register. You can also get yourself a glass of water/tea next to it which is convenient. 

Service is always friendly, but during busy times, you may have to wait awhile for food. Calling ahead is always a good idea during lunch hours."
1308095,"i've had better macarons in sf and la

ordered:
-hazelnut
-chocolate
-raspberry
-pistachio"
207929,"They have a newly revised menu! Yay!

They now offer sweet potato fries! †I happily ordered these and found them delightfully crispy and delicious. †They also added homemade mac du jour and something called ""mac fries"", which I haven't tried. †It's cool they offer them though. 

They also added jalapenos, diced green chiles, and cream cheese as burger toppings in Build Your Own. †(I'm so excited to build a Southwest/Tex-Mex burger the next time I go with those green chiles!)

Other things I really like about this place that I haven't already mentioned: they have small shakes for under $5, which is still plenty for 1-2 people. †Also, the housemade vegetarian black bean patty is seriously delicious. †I'm always satisfied and stuffed with the delicious vegetarian burgers I build here. †

Easily one of my favorite restaurants in Seattle!"
210834,Thank god they don't wrap any shrimp into wonton. †Broth is really yummy too!
898551,"I first came here with my dad and a friend of his after they attended a UW game, and I know it was the perfect choice - a good beer and burger were just what they needed. My next experience with The Ram was the restaurant in Tacoma, where my boyfriend and I decided to stop in for a beer after visiting the ZooLights at Point Defiance Zoo. This third visit to the Northgate location more than lived up to my expectations - good beer, and good burgers. Our service was a little slow, but we had a waitress-in-training, and she seemed very eager to do her job well, so I didn't take our longer-than-usual waits between being seated, ordering drinks, ordering entrees, and asking for dessert and our check as a bad sign, or as a sign that we were being ignored. In fact, I appreciated that she was upfront about her lack of experience, rather than making us wonder why this was taking longer than normal.

I love the atmosphere of sports bar, even though I could care less about sports myself, and The Ram is no different - TVs on every wall, lots of games going on, and people sporting jerseys (pardon the pun!) from whatever game had gone in in Seattle that day/evening.

If you're looking for a quick in-and-out experience, skip The Ram. If you want to take some time to linger over some excellent beer, go right on in. And if you can't decide between the six or seven home brews, get the sampler - you can't go wrong!"
987290,"Being from San Francisco, I have a very high expectation... Taqueria la fondita #2 is by far the absolute best of seattle!!! †I was very disappointed when I first moved here, I was told chipotle was as good as it gets!!! †Otherwise it's ""tex-mex""... Burritos served with tater tots. 
This taqueria rocks! †They're in a ghetto parking lot and they're kinda far but sooo worth it! †I've been there the last three days, I can get enough! †I finally found a perfect taqueria!!! †One complaint... Why don't taquerias in seattle serve chips and salsa?"
2581251,"Came here with my husband as we were spending the day on Whidbey Island for the Fourth of July. Bottom line, service was poor. Our server kept disappearing on us and I thought it was unprofessional of her to blame everything on the cooks and how they were backed up with orders, etc. Also, she was only tending like, 3-4 tables so there was no reason for my husband and I to be ignored. Just to bring us coffee, and to simply ask how we are doing seemed to be a struggle for her.

The food didn't make up for the lack of service either. I ordered their frittata special which was really runny and salty in the middle (gross.) The biscuits that it came with were decent but they were served plain and of course, our server didn't bother bringing or offering some sort of accompaniment to go with the biscuits. †However, my husband did enjoy his brioche French toast so that was nice.

No reason to go back to this place after this experience."
2144205,"Two words - the best. That is the best sandwich I have had. Fortunate for me I heard about this gem from the doorman at the Fairmont Olympic who indicated that he drives across time and waits in a long line-up for the food here.

I ordered the #8 on this day which is the Paseo press - wow! So simple with ingredients which all came together to make a very good lunch that day.

Well worth the drive and wait. When the food is this good you must take the perceived bad and hope it is your day to seize a sandwich."
2122333,I love it because I know when i am in Seattle I NEVER have to buy gum;)
1087329,"I came here with my parents for one thing only: Dungeness Crab! Their ""Crabby Hour"" from 3-5pm M-F in the bar lets you get a whole steamed crab for $25 which is a killer deal in Seattle. I will have to say that the ""Bar"" is literally three TINY ASS bar tables and maybe 4 bar stools at the bar. That is it, so if you come here for this, you better come right at 3, or come by yourself and maybe another person (bc honestly, who wants to eat by themselves..) 
Anyway, the Dungeness crab was delish, but how difficult is it really to steam a crab? Since it is a Tom Douglas restaurant, add an extra 10 bucks to the meal price and since it is steps away from Pike Place, add another 10 bucks. Because of the location, expect virtually no parking and lots of people (tourists) everywhere. But, if you are fortunate to have your stars align where you find both a parking spot, and a chair at the bar, then tie that bib on and go to town on a crab!"
666649,"Finally took some time and ventured into this little bakery the other day. I don't live very far and I've passed through Columbia City plenty of times but for some reason I rarely stop by local places.

It could be that I was nearly famished but the Rustica Torte was utterly delicious! It was hard to decide what I wanted to eat but the torte looked so yummy I just couldn't resist. I also got the strawberry rhubarb danish and a short macchiato. My complete brunch was filling and very satisfying.

Service is fine, up to par. The barista was a sweetheart. There are so many tempting treats I want to try. Gameover for my diet lol. Portion to price ratio is fair, completely worth it."
664397,"The entrees were good, but I think the dolmades lacked a fresh-made flavor (they tasted like canned ones you can get in a Mediterranean specialty store). †Service was friendly but not particularly fast, which is fine if you're not in a hurry (we weren't). †Overall, a nice find for Greek food in Seattle."
1666506,Their vegetarian pho is simply the best! Everyone is so friendly and it feels so nice and homey in there! I go there as often as I can.
829034,"this place is beautiful, the service is great, the food is delicious, the drinks are awesome. †love it."
772049,"Just cause it's called bbq chicken, doesn't mean they're another popeyes. haha.

I don't come here often, but it's another korean food stop on the ave aside from others.

I always get dukboki or topoki and soup or the pancake. 

This is literally the only place I know around the U that serves the pancakes itself instead of just having them as a side dish.

My favorite has always been dukboki. Spicy rice cake. There's also topoki, which is the rice cake, but also includes noodles and eggs. I would say eat this the same day you have it, or else the rice cake will harden.

The soups are always their best dish especially the seafood soup. Tofu, seafood and the spicyness of the soup is on point.

It's not all Korean food here, they also have wings, chicken strips and fries. 

Quick service, very nice and the place is very spacey. Good place for a mellow vibe."
1710280,"Maybe I'm biased because I have never tried German food before and this was my first time.

I got the schnitzel with potato salad. The portions are humongous. I didnt really enjoy the food. The potato salad tasted very vinegary not sure if that's how it's supposed to be. They forgot to bring me the rye bread . It's understandable since it got busy towards dinner time. I reminded the server and she brought me COLD BREAD... I could only take one bite. At least warm up the bread in a toaster who serves cold bread. The only thing that was edible was the schnitzel it tasted like katsu.

The servers are very friendly. Great customer service even though they forgt my bread. I probably won't be back again it was overpriced for the quality."
1447574,"After going on 3 dates with Palace so far, I have to say Tom Douglas is impressing this lady. And I'm not talking about the shiny large colorful mosaic cock, ahem, I mean rooster in the window...I'm not that shallow :) † You see, I have this infatuation with the mussels. The mussels at Palace are plentiful, plump, fresh, local, and evenly cooked. I was not a mussel girl before, but Tom...yeah you clever man, you have converted me. The trout and the pecan pie did me in as well. †I absolutely detest traveling into the downtown area but to satisfy these rare lusting moments I will navigate through traffic plagued by constant roadside construction, one way streets, and confusing 5 way intersections. As far as personality goes, Palace has a sophisticated vibe that is unpretentious and manages to deliver unique and flavorful dishes with attentive service. Unfortunately, like any relationship, Palace has some flaws. †Although a wide variety of spirits are served, some of the cocktails taste flat. Sorry Tom, I have tasted better versions of the Moscow Mule. While I have ordered other dishes from the revolving seasonal menu and regular menu, my loyalty continues solely for the mussels and trout. †Looking forward to my next late night rendezvous. On weekends, I recommend making a reservation or you will wait a an hour or two. To be continued.."
226893,"I wandered in to watch the UW-Wazzu game during lunch today. †As it was late, and all the real fans were in the Arena, I snagged a table near the bright, big screen, and camped out for the whole game.

The waitress was fine, UW won the game, and the pulled pork sandwich was luscious. †The apple pie a la mode was also flawless. †Not too noisy. †Very nice.

Although I shouldn't blame the 50 North, the two 50-something guys drinking at midday at the bar, asking the waitress where she lived etc., †and cheering for Wazzu I could have done without.

More seriously, I wasn't sure which was the legitimate parking, and the aura was somewhat generic, not quite 5-star territory, like Big Country over on University Ave., although more upscale.

A good place for a sandwich and a basketball game or a conversation."
1001498,"Rude customer service, terrible onigiri. I think they should be an order and pick up place instead of a sit down and order place. They don't know what they are doing in terms of seating and serving in a timely manner. I don't expect a high quality experience from a cash only restaurant, but I at least thought they'd be polite. I had to ask for tea three times and was basically ignored after receiving my food. And honestly, the udon is soggy (tastes like instant), and sushi has too much rice with a lack of seasoning. Service and food overall- †Awful, seriously."
1521666,"Fantastic ambiance! Ducking in of the busy streets, you'll feel like you've been transported to a European coffee shop! Cozy ambiance and sweet staff! I wanted to out the sweet ole Italian man (who I assume was the owner) in my pocket and take him home! He was adorable! The coffee was DELICIOUS! They offer alternative milks (soy AND almond!) and the coffee flavor is perfect! We shared a molasses cookie that tasted homemade and was perfectly crunchy on the outside and soft on the inside. 

LOVE this little hidden gem!!!"
180638,"Seems as if they changed chefs and the menu is different along with the quality.

Truffle fries are now ""meh"" and the portions are smaller than usual.

Please fix this...I used to rave about this place."
796998,"Went to Chaco Canyon today because it was close by, not necessarily because it was organic. †Overall, really good! I was just looking to do some work so ordered a muffin and a cup of coffee. The staff were super friendly and seemed like they enjoyed working there. The blueberry muffin was great and the coffee was good. Good atmosphere, not sure if it's the best place to study (a little noisy), but I'd definitely go again to do some lighter work on the computer. Wifi seemed to work well too."
1105619,"Love it! Especially on a very cold and rainy night. I ordered the Saut√©ed garlic (sliced) rib-eye steak and really enjoyed my meal! I usually save half to eat for lunch, but I ate the entire dish! Noodles were fresh and I really enjoyed how the meat tasted fresh. That's a plus! My classmate didn't know what to expect, since it was her first time eating Vietnamese food. I enjoyed the place a lot that I'll be coming here again tonight. I'm a fan!"
1831893,"My boyfriend and I really like this restaurant. Though it's small, it's a great place to grab dinner and enjoy fresh sushi. Also, they are very accommodating to my vegetarian needs, which is a HUGE plus, as there aren't very many Japanese restaurants with good vegetarian options. 

We would highly recommend the Lion King roll, chicken teriyaki, and the dinner bento special. Roll, Roll, Roll is definitely my go-to sushi place."
774209,"So disappointing. My colleague and I went here for lunch today. Expensive but we wanted a nice lunch. There were just a few tables with customers and we waited for water or to give our order. We had to ask a bus person and waive down the hostess to get water and ask if we could order. A waiter came by and we finally ordered. I ordered a steak that the menu said would come medium. I tried to cut my steak, but could not. Asked for a steak knife to see if that would help. Found out the steak was rare. We only had an hour for lunch so I waved down a waitress and asked her to please just get me a hamburger (thinking this would be fast). It did take a bit, but the burger was really good. We did not see the original waiter but when the waitress came back with the check, she said she took off 10% because the burger was less than the steak I ordered. I couldn't believe it. They gave us poor service, did not deliver per the menu and still charged me. Even though I agree with their food philosophy and approach, I will not go back. Way too many restaurants in Seattle that have good food and excellent service."
1445209,"Why did I wait so long to come here? This little hole-in-the-wall restaurant that I didn't give a second look at for the longest time, all of a sudden has become one of my top places to dine in the I.D.

I came here for lunch with three friends on a Saturday, not expecting anything much. Boy was I surprised when I looked at the menu! Plenty of delicious looking dishes (with pictures) on there, a selection probably only bested by HK Bistro up the street. The place was nice and clean, with ample seating for our group around 1pm; hopefully it was a slow day for them.

I ordered a noodle dish with porkchop and an overeasy egg on top, situated on a hot sizzling skillet. Delicious! Not too salty with plenty of flavor. Service was good - the waitress was pretty attentive to us, refilling water and inquiring if we needed anything. 

Overall it was a great experience. AH...! Also, I remember why I never came here before. I think Joe's Bar next door had something to do with it. ;)"
2127035,"Delicious food, great atmosphere! Gorgeous place in Post Alley, romantic, great good, beautifully decorated, great service. We try cheese boards at almost every restaurant we visit and this is by far our favorite. Prosecco with your cheese plate is a winner. Lasagna is absolutely delicious and you can never go wrong with their special pasta dish (if it includes spinach fettuccine, don't hesitate to try).They generally also have great local musicians playing. In the summer, their open patio is a jewel. Lasagna is fantastic and on the desert menu the Panna Cotta is very light and tasty, worth trying for sure. If you happen to be here at the right season, they may even have a lavender Panna Cotta which is superb. Their wait staff is also very knowledgeable and helpful and make your dining experience even greater.....A must try in the Seattle restaurant scene. You will not be disappointed!!!"
1909902,"We were here over the summer, and thought it was impressive. †I am not a big fan of seafood, but our waitress convinced me to try the Blackened Halibut. †I am so glad she did. †If we come back to Seattle, we will be sure to make another reservation."
1335478,"I love the bar at Milagros, the bartenders are all super nice & though service can be a little slow, I always have a good experience. 
The drinks are reeeally expensive so I really only go there during happy hours, I will spend the money to get a few overpriced specialty cocktails because the bar manager, I'm not sure if this is his title but it should be, Drew, is INCREDIBLE. He makes some of the best drinks I've ever had. I would recommend stopping in and having a little chat with him about his drinks & he'll make you some of the best tequila cocktails you've ever had. Ask for a pomegranate margarita, he made it for me once when we got into discussing margaritas, and I was blown away.
Their salsa trio is pretty good, their guac usually requires a little lime and salt doctoring but it's decent, though I do believe a Cantina should have perfect guacamole, when it hits the table.
I've had the burrito and added the sauce they offer that is not mole, I can't remember what it was called. But the burrito was pretty good, I would order it again.
The quesadilla is a MUST TRY, in my opinion. The crema, whatever it is, they put on top is literally crack. I always get an extra side. 
I've also ordered their Al Pastor pork tacos, which sounded right up my alley, but I was †so underwhelmed. It was a very disappointing moment in my life, and after talking to the bartender he told me none of the tacos are too incredible. 
Which is ludicrous to me, because that must be some of their best selling items. 
I think Milagros is the kind of place where I urge you to go drink & enjoy an entree when drunken hunger arises, or munch on some happy hour food, but I wouldn't necessarily recommend it as a good spot to go exclusively for dinner."
178035,"House of Hong sits right in the middle of everything: between the highway and I-district, between five star and spit in your food service and between the celestial awe of delicious dim sum, and dirt in your dumplings. They truly earn their 3 stars. 

On a Sunday morning they must make their business from all the hungry people unwilling to wait in line for Jade Garden or Harbor City, because that's why I came. The space is large, like Chinese banquet large, and the service fast as lightning! Within 5 minutes of sitting down we had tea ordered, and was swarmed by 3 carts. Unfortunately after we entered a calming period of eating, our requests (mustard, more water, the cheque) were not addressed as quickly. 

The dim sum straddled the line of ok and ok. I never knew that I could write about mediocre like this. 

The following dishes were average: 
- siu mai
- ha gow
- bbq pork bun
- turnip cake

And the following were off-putting: 
- chung fen (rice noodle roll)
- sugar cane shrimp

They also charged $6.75 for black pepper beef short ribs that were dim sum portions, and unfortunately we realized this only when the dish was finished. There was also a mistake in calculating our bill (cheaper items entered as more expensive). I'm not sure if it's common practice, so I would recommend to re-check your final bill. †

Tea also costs extra, which is more an annoyance than deterrent. 

Come here if you need dim sum fast like you need a boost to the heart, otherwise I take your money elsewhere."
2525748,"Service here is absolutely terrible. The food is good and the charbroiled rice noodle dishes are a nice alternative to teriyaki, so I go here occasionally. That said, I never walk in the Broadway Pho Cycle without feeling like I'm an inconvenience to the staff. I've just settled on taking it to go."
940261,The spicy basil fried rice is delicious! Not the best in town but not bad either. Good food for the price.
1825357,"My family went there tonight.......service is good but the portion is very surprised. I ordered the fish & chips, the 2 tiny fishes is good enough for kid but no adult. The price is $16.99....very pricey for me! 

I don't think I will go back for dinner, maybe will try their lunch in some days!"
816802,"Brings back childhood memories every-time I go. Salmon chowder, get that if you don't get anything else. Honestly, everything else is just average or good drunken munchy food."
956085,"My chicken penne gorgonzola was good, nice selection of local beer, price is acceptable, bar tender was pretty good. I'll go back"
2145111,"Been here before for brunch and loved it! Couldn't get in for happy hour this time and the host was less than cooperative. Open tables at 4:15 and we can't enjoy paying you for food for forty-five minutes? Oh, I'm sorry, can't even do that. You were fully reserved at five (really?). 

I run a successful restaurant and if we have open tables and people wanting to sit, we get their butts in the chairs. ""I can sit you but we need the table by 5, ok?"" That would have worked for us, but the gatekeeper at the front door didn't care. 

Let's do the math. 2 guests spending a total of $60 turned away once a day x 365 = $21,900. Why are you turning that away? You must be doing REALLY good to not worry about that. Nice job!

Rules are meant to be broken for the sake of the guest. When you forget that, you begin the downward slide into the failing restaurant zone.

I like you, Toulouse. Don't go down that road!"
990281,Awesome Sushi!!
1952869,Pssst! †You're wildest dreams have now come true. †There is a NEW Musashi's open in Factoria and it has no lines and PARKING!
2122062,"I was worried that in the year since I have been Lola that maybe I had lifted the doughnuts or the the breakfast to a pedestal that it did not belong.

I was dead wrong. Lola continues to defy my expectations. Doughnuts were amazing, sausage was savory and perfect. Service is impeccable, despite the geeky rabble I tend to walk in the door with."
837962,"Food wasn't bad. They have a pretty great lunch menu, and their hot sauce is pretty tasty!"
1776562,"We just moved into a new apartment down the street, so we figured we'd try Citizen for coffee the morning after our move-in day.

DAMN. Delicious food, great coffee, a fun atmosphere, and decent prices! Great service. 

Will likely end up as our new neighborhood breakfast joint.

Loved the movie theater seats upstairs! So fun!!"
